v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
DVD-FDBL	dvd/fire_down_below.gif	Fire Down Below Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 100 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		29.99	7		2003-11-03 12:32:17	10	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-DHWV	dvd/die_hard_3.gif	Die Hard With A Vengeance Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 122 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		39.99	7		2003-11-03 12:32:17	9	Fox	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-LTWP	dvd/lethal_weapon.gif	Lethal Weapon Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 100 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		34.99	7		2003-11-03 12:32:17	10	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-SPEED	dvd/speed.gif	Speed Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 112 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		39.99	7		2003-11-03 12:32:17	10	Fox	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-SPEED2	dvd/speed_2.gif	Speed 2: Cruise Control	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br> Languages: English, Deutsch. <br> Subtitles: English, Deutsch, Spanish. <br> Audio: Dolby Surround 5.1. <br> Picture Format: 16:9 Wide-Screen. <br> Length: (approx) 120 minutes. <br> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		42	7		2003-11-03 12:32:17	10	Fox	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-BLDRNDC	dvd/blade_runner.gif	Blade Runner - Director's Cut Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br>Languages: English, Deutsch.<br>Subtitles: English, Deutsch, Spanish.<br>Audio: Dolby Surround 5.1.<br>Picture Format: 16:9 Wide-Screen.<br>Length: (approx) 112 minutes.<br>Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.bladerunner.com	35.99	7		2003-11-03 12:32:17	15	Warner	DVD Movies	Science Fiction						Taxable Goods	1	EOREOR
DVD-YGEM	dvd/youve_got_mail.gif	You've Got Mail Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch, Spanish. <br />Subtitles: English, Deutsch, Spanish, French, Nordic, Polish. <br />Audio: Dolby Digital 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 115 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.youvegotmail.com	34.99	7		2003-11-03 12:32:17	500	Warner	DVD Movies	Comedy						Taxable Goods	1	EOREOR
DVD-TSAB	dvd/theres_something_about_mary.gif	There's Something About Mary Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 114 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		49.99	7		2003-11-03 12:32:17	10	Fox	DVD Movies	Comedy						Taxable Goods	1	EOREOR
DVD-ABUG	dvd/a_bugs_life.gif	A Bug's Life "Multi Pak" Special 2003 Collectors Edition	A Bug's Life "Multi Pak" Special 2003 Collectors Edition  <br>  Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Digital 5.1 / Dobly Surround Stereo.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 91 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.abugslife.com	35.99	7		2003-11-03 12:32:17	499	Warner	DVD Movies	Cartoons						Taxable Goods	1	EOREOR
DVD-FRAN	dvd/frantic.gif	Frantic Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 115 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		35	7		2003-11-03 12:32:17	9	Warner	DVD Movies	Thriller						Taxable Goods	1	EOREOR
DVD-REDC	dvd/red_corner.gif	Red Corner Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 117 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		32	7		2003-11-03 12:32:17	9	Warner	DVD Movies	Drama						Taxable Goods	1	EOREOR
DVD-CUFI	dvd/courage_under_fire.gif	Courage Under Fire Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 112 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		38.99	7	2006-02-21 00:00:00	2003-11-03 12:32:17	9	Fox	DVD Movies	Drama						Taxable Goods	1	EOREOR
DVD-BELOVED	dvd/beloved.gif	Beloved Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 164 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		54.99	7		2003-11-03 12:32:17	8	Warner	DVD Movies	Drama						Taxable Goods	1	EOREOR
PC-SWAT3	sierra/swat_3.gif	SWAT 3: Close Quarters Battle Linked	<b>Windows 95/98</b><br /><br />211 in progress with shots fired. Officer down. Armed suspects with hostages. Respond Code 3! Los Angles, 2005, In the next seven days, representatives from every nation around the world will converge on Las Angles to witness the signing of the United Nations Nuclear Abolishment Treaty. The protection of these dignitaries falls on the shoulders of one organization, LAPD SWAT. As part of this elite tactical organization, you and your team have the weapons and all the training necessary to protect, to serve, and &quot;When needed&quot; to use deadly force to keep the peace. It takes more than weapons to make it through each mission. Your arsenal includes C2 charges, flashbangs, tactical grenades. opti-Wand mini-video cameras, and other devices critical to meeting your objectives and keeping your men free of injury. Uncompromised Duty, Honor and Valor!	www.swat3.com	79.99	7		2003-11-03 12:32:17	16	Sierra	Software	Simulation						Taxable Goods	1	EOREOR
PC-UNTM	gt_interactive/unreal_tournament.gif	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br><br>This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net	89.99	7		2003-11-03 12:32:17	13	GT Interactive	Software	Action						Taxable Goods	1	EOREOR
PC-TWOF	gt_interactive/wheel_of_time.gif	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br><br>During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com	99.99	10		2003-11-03 12:32:17	16	GT Interactive	Software	Strategy						Taxable Goods	1	EOREOR
PC-DISC	gt_interactive/disciples.gif	Disciples: Sacred Lands Linked	A new age is dawning...<br><br>Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br><br>The day of reckoning has come... and only the chosen will survive.		90	8		2003-11-03 12:32:17	16	GT Interactive	Software	Strategy						Taxable Goods	1	EOREOR
GIFT005	gift_certificates/gv_5.gif	Gift Certificate $  5.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		5	0		2003-11-03 12:32:17	999		Gift Certificates							--none--	1	EOREOR
GIFT 010	gift_certificates/gv_10.gif	Gift Certificate $ 10.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		10	0		2003-11-03 12:32:17	985		Gift Certificates							--none--	1	EOREOR
GIFT025	gift_certificates/gv_25.gif	Gift Certificate $ 25.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		25	0		2003-11-03 12:32:17	992		Gift Certificates							--none--	1	EOREOR
GIFT050	gift_certificates/gv_50.gif	Gift Certificate $ 50.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		50	0		2003-11-03 12:32:17	997		Gift Certificates							--none--	1	EOREOR
GIFT100	gift_certificates/gv_100.gif	Gift Certificate $100.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		100	0		2003-11-03 12:32:17	995		Gift Certificates							--none--	1	EOREOR
GIFT	gift_certificates/gv.gif	Gift Certificates by attribtues	Priced by Attributes Gift Certificates.		0	0		2003-12-27 22:56:57	9996		Gift Certificates							--none--	1	EOREOR
DVD-BLDRNDC	dvd/blade_runner.gif	Blade Runner - Director's Cut Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br>Languages: English, Deutsch.<br>Subtitles: English, Deutsch, Spanish.<br>Audio: Dolby Surround 5.1.<br>Picture Format: 16:9 Wide-Screen.<br>Length: (approx) 112 minutes.<br>Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.bladerunner.com	35.99	7		2003-11-03 12:32:17	15	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-MATR	dvd/the_matrix.gif	The Matrix Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch.  <br>  Audio: Dolby Surround.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 131 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Making Of.	www.thematrix.com	39.99	7		2003-11-03 12:32:17	8	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-YGEM	dvd/youve_got_mail.gif	You've Got Mail Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch, Spanish. <br />Subtitles: English, Deutsch, Spanish, French, Nordic, Polish. <br />Audio: Dolby Digital 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 115 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.youvegotmail.com	34.99	7		2003-11-03 12:32:17	500	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-ABUG	dvd/a_bugs_life.gif	A Bug's Life "Multi Pak" Special 2003 Collectors Edition	A Bug's Life "Multi Pak" Special 2003 Collectors Edition  <br>  Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Digital 5.1 / Dobly Surround Stereo.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 91 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.abugslife.com	35.99	7		2003-11-03 12:32:17	499	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-UNSG	dvd/under_siege.gif	Under Siege Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 98 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		29.99	7		2003-11-03 12:32:17	10	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-FDBL	dvd/fire_down_below.gif	Fire Down Below Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 100 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		29.99	7		2003-11-03 12:32:17	10	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-DHWV	dvd/die_hard_3.gif	Die Hard With A Vengeance Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 122 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		39.99	7		2003-11-03 12:32:17	9	Fox	Big Linked							Taxable Goods	1	EOREOR
DVD-LTWP	dvd/lethal_weapon.gif	Lethal Weapon Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 100 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		34.99	7		2003-11-03 12:32:17	10	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-REDC	dvd/red_corner.gif	Red Corner Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 117 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		32	7		2003-11-03 12:32:17	9	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-FRAN	dvd/frantic.gif	Frantic Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 115 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		35	7		2003-11-03 12:32:17	9	Warner	Big Linked							Taxable Goods	1	EOREOR
DVD-CUFI	dvd/courage_under_fire.gif	Courage Under Fire Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 112 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		38.99	7	2006-02-21 00:00:00	2003-11-03 12:32:17	9	Fox	Big Linked							Taxable Goods	1	EOREOR
DVD-SPEED	dvd/speed.gif	Speed Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 112 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		39.99	7		2003-11-03 12:32:17	10	Fox	Big Linked							Taxable Goods	1	EOREOR
DVD-TSAB	dvd/theres_something_about_mary.gif	There's Something About Mary Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 114 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		49.99	7		2003-11-03 12:32:17	10	Fox	Big Linked							Taxable Goods	1	EOREOR
DVD-BELOVED	dvd/beloved.gif	Beloved Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch, Spanish.  <br>  Audio: Dolby Surround 5.1.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 164 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		54.99	7		2003-11-03 12:32:17	8	Warner	Big Linked							Taxable Goods	1	EOREOR
PC-SWAT3	sierra/swat_3.gif	SWAT 3: Close Quarters Battle Linked	<b>Windows 95/98</b><br /><br />211 in progress with shots fired. Officer down. Armed suspects with hostages. Respond Code 3! Los Angles, 2005, In the next seven days, representatives from every nation around the world will converge on Las Angles to witness the signing of the United Nations Nuclear Abolishment Treaty. The protection of these dignitaries falls on the shoulders of one organization, LAPD SWAT. As part of this elite tactical organization, you and your team have the weapons and all the training necessary to protect, to serve, and &quot;When needed&quot; to use deadly force to keep the peace. It takes more than weapons to make it through each mission. Your arsenal includes C2 charges, flashbangs, tactical grenades. opti-Wand mini-video cameras, and other devices critical to meeting your objectives and keeping your men free of injury. Uncompromised Duty, Honor and Valor!	www.swat3.com	79.99	7		2003-11-03 12:32:17	16	Sierra	Big Linked							Taxable Goods	1	EOREOR
PC-UNTM	gt_interactive/unreal_tournament.gif	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br><br>This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net	89.99	7		2003-11-03 12:32:17	13	GT Interactive	Big Linked							Taxable Goods	1	EOREOR
PC-TWOF	gt_interactive/wheel_of_time.gif	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br><br>During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com	99.99	10		2003-11-03 12:32:17	16	GT Interactive	Big Linked							Taxable Goods	1	EOREOR
PC-DISC	gt_interactive/disciples.gif	Disciples: Sacred Lands Linked	A new age is dawning...<br><br>Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br><br>The day of reckoning has come... and only the chosen will survive.		90	8		2003-11-03 12:32:17	16	GT Interactive	Big Linked							Taxable Goods	1	EOREOR
